Timestamp,Channel_0_Filtered_Avg,Channel_0_Error_Avg,Channel_1_Filtered_Avg,Channel_1_Error_Avg,Channel_2_Filtered_Avg,Channel_2_Error_Avg,Channel_3_Filtered_Avg,Channel_3_Error_Avg,Channel_4_Filtered_Avg,Channel_4_Error_Avg,Target_Grid_X,Target_Grid_Y
2025-11-14 19:25:34.390,944.96,-0.96,874.36,-2.36,763.0,-3.0,922.0,-2.0,970.04,-2.04,5,1
2025-11-14 19:25:35.279,945.0,-1.0,874.4,-2.4,763.04,-3.04,922.0,-2.0,969.96,-1.96,4,1
2025-11-14 19:25:36.144,944.96,-0.96,874.04,-2.04,763.04,-3.04,922.0,-2.0,969.96,-1.96,3,1
2025-11-14 19:25:37.011,945.0,-1.0,874.4,-2.4,763.2,0.32,922.0,-2.0,970.0,-2.0,2,1
2025-11-14 19:25:37.900,944.8,-0.8,874.04,-2.04,762.92,1.08,921.96,-1.96,969.92,-1.92,1,1
2025-11-14 19:25:38.789,944.84,-0.84,874.08,-2.08,762.72,-2.72,922.0,-2.0,969.8,-1.8,0,1
2025-11-14 19:25:39.678,945.0,-1.0,874.28,-2.28,763.04,-3.04,922.0,-2.0,970.0,-2.0,0,2
2025-11-14 19:25:40.567,945.0,-1.0,874.32,-2.32,763.08,-3.08,921.96,-1.96,969.84,-1.84,1,2
2025-11-14 19:25:41.456,944.96,-0.96,874.12,-2.12,763.12,-3.12,922.0,-2.0,970.12,-2.12,2,2
2025-11-14 19:25:42.369,945.0,-1.0,874.4,-2.4,763.08,-3.08,922.0,-2.0,969.96,-1.96,3,2
2025-11-14 19:25:43.282,944.92,-0.92,874.28,-2.28,762.84,-2.84,922.0,-2.0,970.0,-2.0,4,2
2025-11-14 19:25:44.192,945.0,-1.0,874.4,-2.4,763.04,-3.04,922.0,-2.0,970.0,-2.0,5,2
2025-11-14 19:25:45.084,944.96,-0.96,874.36,-2.36,763.2,-3.2,922.0,-2.0,969.96,-1.96,6,2
2025-11-14 19:25:45.924,945.0,-1.0,874.44,-2.44,762.8,-2.8,922.0,-2.0,970.04,-2.04,7,2
2025-11-14 19:25:46.724,944.92,-0.92,874.32,-2.32,763.04,-3.04,922.0,-2.0,970.0,-2.0,8,2
2025-11-14 19:25:47.534,945.0,-1.0,874.24,-2.24,763.0,-3.0,922.0,-2.0,970.0,-2.0,9,2
2025-11-14 19:25:48.423,944.96,-0.96,874.32,-2.32,763.24,-3.24,922.0,-2.0,969.96,-1.96,10,2
2025-11-14 19:25:49.313,944.96,-0.96,874.28,-2.28,763.04,-3.04,922.0,-2.0,969.8,-1.8,11,2
2025-11-14 19:25:50.151,945.0,-1.0,874.32,-2.32,762.68,-2.68,922.0,-2.0,970.0,-2.0,12,2
2025-11-14 19:25:51.071,944.96,-0.96,874.24,-2.24,762.92,-2.92,922.0,-2.0,969.88,-1.88,13,2
2025-11-14 19:25:51.929,945.0,-1.0,874.36,-2.36,763.36,-3.36,921.96,-1.96,969.88,-1.88,14,2
